EUBWID,label,samplePointID,yearDesignated,yearDedesignated,district,county,country,easting,northing,lat,long,seasonStartDate,seasonFinishDate,pollutionRiskForecasting,appointedSewerageUndertaker,stepChange,stepChangeDate
ukc1404-05700,Seaham Hall Beach,05700,1988,"",County Durham,"",England,442380,550825,54.8504496557177,-1.34149803443412,2023-05-01,2023-09-30,true,Northumbrian Water Limited,"",""
ukc1404-05800,Seaham Beach,05800,1988,"",County Durham,"",England,442600,550500,54.8475106600731,-1.33811969262655,2023-05-01,2023-09-30,true,Northumbrian Water Limited,"",""
ukc1404-05900,Crimdon,05900,1988,"",County Durham,"",England,448482,537268,54.728078401518,-1.24873218512617,2023-05-01,2023-09-30,true,Northumbrian Water Limited,"",""
ukc2101-04250,Amble Links,04250,1991,"",Northumberland,"",England,428500,603600,55.3256518430612,-1.55240065878181,2023-05-01,2023-09-30,false,Northumbrian Water Limited,"",""
ukc2102-03700,Bamburgh Castle,03700,1988,"",Northumberland,"",England,418500,635300,55.6109624803421,-1.70790347736216,2023-05-01,2023-09-30,false,Northumbrian Water Limited,"",""
ukc2102-03900,Beadnell,03900,1988,"",Northumberland,"",England,423300,628400,55.5487603048552,-1.63228751096927,2023-05-01,2023-09-30,false,Northumbrian Water Limited,"",""
ukc2103-04600,Blyth South Beach,04600,1988,"",Northumberland,"",England,432200,579500,55.1088743553324,-1.49682827055485,2023-05-01,2023-09-30,true,Northumbrian Water Limited,"",""
ukc2104-04280,Druridge Bay North,04280,2008,"",Northumberland,"",England,427500,599750,55.2911145717199,-1.56853575551603,2023-05-01,2023-09-30,false,Northumbrian Water Limited,"",""
ukc2104-04300,Druridge Bay South,04300,1988,"",Northumberland,"",England,429100,594100,55.2402551088777,-1.54392384292723,2023-05-01,2023-09-30,false,Northumbrian Water Limited,"",""
ukd1101-46000,Allonby South,46000,1988,2019,Allerdale,Cumbria,England,306339,539751,54.7439601786834,-3.45645360335536,2019-05-01,2019-09-30,true,United Utilities Water Limited,"",""
ukd1101-46100,Allonby,46100,1988,"",Allerdale,Cumbria,England,307800,542400,54.7680362472678,-3.43462529244341,2023-05-01,2023-09-30,true,United Utilities Water Limited,"",""
ukd1101-46300,Silloth,46300,1988,2018,Allerdale,Cumbria,England,309656,553195,54.8653453662774,-3.40914236147312,2017-05-01,2017-09-30,true,United Utilities Water Limited,"",""
ukd1102-44200,Walney Biggar Bank,44200,1988,"",Barrow-in-Furness,Cumbria,England,317800,467300,54.0950168013411,-3.25838129442648,2023-05-01,2023-09-30,false,United Utilities Water Limited,"Step Change in water quality from 30/04/2013, due to improvements made to Water plc assets.",2013-04-30
